Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1105232165,GLS6001,NY,PAS,07/03/2018,14,SDN,HONDA,X,47130,13230,80030,20180702,78,78,968,86684,0968,0000,0811P,,K,F,2,HANSON PLACE,,0,408,D1,,BBYBBBB,ALL,ALL,BLUE,0,2006,-,0,,,,,
1121274900,HXM7361,NY,PAS,06/28/2018,46,SDN,NISSA,X,28990,14890,15040,20200203,112,112,968,103419,0968,0000,1145A,,Q,F,71-30,AUSTIN ST,,0,408,C,,BBBBBBB,ALL,ALL,GRY,0,2017,-,0,,,,,
1130964875,GTR7949,NY,PAS,06/08/2018,24,SUBN,JEEP,X,64,18510,99,20180930,122,122,835,0,0835,0000,0355P,,R,,,GREAT KILLS BOAT LAU,,0,408,D5,,BBBBBBB,ALL,ALL,GREEN,0,0,-,0,,,,,
1130964887,HH1842,NC,PAS,06/07/2018,24,P-U,FORD,X,11310,39800,39735,0,122,122,835,0,0835,0000,0123P,,R,,,GREAT KILLS PARK BOA,,0,408,D5,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1131599342,HDG7076,NY,PAS,06/29/2018,17,SUBN,HYUND,X,47130,13230,80030,20190124,78,78,868,2354,0868,0000,0514P,,K,F,2,HANSON PLACE,,0,408,C4,,BBBBBBB,ALL,ALL,GREEN,0,2007,-,0,,,,,
1131610520,GER9006,NY,PAS,07/02/2018,17,SUBN,NISSA,X,64790,18640,18790,20190128,103,103,968,86652,0968,0000,0827A,0827A,Q,O,94-14,SUTPHIN BLVD,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,2013,-,0,,,,,
1133401569,HLC3177,NY,PAS,07/02/2018,21,SDN,HONDA,S,31830,67030,64830,20181219,77,77,0,559290,KN08,0000,0843A,,K,F,1235,DEAN STREET,,0,408,D1,,YBBYBBB,ALL,ALL,BLACK,0,1999,-,0,,,,,
1133401570,HZN6473,NY,PAS,07/02/2018,21,SDN,TOYOT,S,68930,23330,54070,20200429,77,77,0,559290,KN08,0000,0910A,,K,F,1445,PACIFIC STREET,,0,408,D1,,YBBYBBB,ALL,ALL,BLACK,0,2006,-,0,,,,,
1133401594,HPC9135,NY,PAS,07/02/2019,21,SUBN,HONDA,S,68930,64830,23330,20190710,77,77,0,559290,KN08,0000,0919A,,K,F,1369,PACIFIC STREET,,0,408,D1,,YBBYBBB,ALL,ALL,GRAY,0,2005,-,0,,,,,
1133401636,HZJ8359,NY,PAS,07/02/2018,21,SDN,NISSA,S,67030,19230,80430,20180803,77,77,0,559290,KN08,0000,0818A,,K,F,666,NOSTRAND AVE,,0,408,D1,,YYYYYYB,ALL,ALL,GRAY,0,2018,-,0,,,,,
1135103550,GVP4327,NY,PAS,05/31/2018,17,SDN,ME/BE,P,86430,60530,29130,20181218,94,94,875,956371,0875,0000,0100P,1245P,,O,462,UNION AVE,,0,408,D1,,BBBBBBB,ALL,ALL,SILVE,0,2005,-,0,,,,,
1140677615,GZY4531,NY,PAS,07/02/2018,21,SUBN,FORD,S,31830,23330,54070,20190928,77,77,0,559290,KN08,0000,0902A,,K,F,1401,DEAN STREET,,0,408,C,,YBBYBBB,ALL,ALL,BLACK,0,2012,-,0,,,,,
1140677627,HYU6793,NY,PAS,07/02/2018,21,SDN,,S,31830,64830,23330,20200422,77,77,0,559290,KN08,0000,0857A,,K,F,1329,DEAN STREET,,0,408,D1,,YBBYBBB,ALL,ALL,GRAY,0,2018,-,0,,,,,
1140969018,HRH2511,NY,PAS,07/06/2018,17,SUBN,TOYOT,C,64620,26490,26520,20190428,44,44,0,0,BXFC,0000,0825A,0815A,BX,F,900,SHERIDAN AVE,,0,408,C4,,YYYYYBB,ALL,ALL,GRAY,0,2013,-,0,,,,,
1158075285,HJH1549,NY,PAS,06/27/2018,17,SDN,ACURA,X,47130,13230,80030,20180725,78,78,968,202946,0968,0000,0850P,0850P,K,F,2,HANSON PL,,0,408,E5,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1252968620,HNN8840,NY,PAS,07/20/2018,19,SDN,SUBAR,P,30210,56720,0,20181225,50,50,968,239095,0968,0000,0402P,0402P,BX,,,EDSALL AVE,PALISADE AVE,0,408,E5,,BBBBBBB,ALL,ALL,GREY,0,2013,-,0,,,,,
1252968632,HNN8840,NY,PAS,07/20/2018,71,SDN,SUBAR,P,30210,56720,0,20181225,50,50,968,239095,0968,0000,0402P,0402P,BX,,,EDSALL AVE,PALISADE AVE,0,408,C3,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
