the_geom,L_LOW_HN,PHYSICALID,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,L_BLKFC_ID,R_BLKFC_ID,ST_LABEL,STATUS,BIKE_LANE,BOROCODE,ST_WIDTH,CREATED,MODIFIED,TRAFDIR,RW_TYPE,FRM_LVL_CO,TO_LVL_CO,SNOW_PRI,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE,ST_NAME,BIKE_TRAFD,SHAPE_Leng
"MULTILINESTRING ((-73.87861544017795 40.86191530153914, -73.8786122906838 40.861905665471, -73.87860961001435 40.86189594747457, -73.8786074016745 40.861886161457974, -73.87860566917195 40.86187631982168, -73.87860441468642 40.861866437142524, -73.87860363951931 40.86185652565106, -73.87860334518933 40.861846599420886, -73.87860353255412 40.86183667202225, -73.87860420004561 40.86182675618532, -73.87860634362991 40.86181181620364, -73.87860791909888 40.861796835083545, -73.87860892466473 40.86178182538742, -73.87860935986241 40.86176680034911, -73.8786092240086 40.86175177186207, -73.87860851663821 40.86173675316013, -73.87860723971737 40.86172175530189, -73.87860539300073 40.861706792024, -73.87860297911358 40.861691875893406, -73.87859999913972 40.86167701780025, -73.87859645636273 40.86166223232246, -73.87859235319092 40.86164753001648, -73.87858769313219 40.86163292345018, -73.87858247969412 40.86161842535897, -73.87857671793161 40.86160404697215, -73.87857041311688 40.86158980136198, -73.87856356920302 40.861575698919005, -73.87855619146161 40.86156175305051, -73.87854828847979 40.861547973984386, -73.87853986442792 40.861534373954086, -73.87853092744972 40.86152096435966, -73.8785214848077 40.86150775576261, -73.87851154442609 40.86149475889263, -73.87850111400626 40.86148198565189, -73.87849339904342 40.861472554343635, -73.87848617610794 40.86146290091462, -73.8784794568671 40.861453040286776, -73.87847325122357 40.86144298704517, -73.87846756863532 40.861432757617095, -73.87846241790137 40.86142236675397, -73.87845780693476 40.86141183104899, -73.8784537425477 40.861401165754, -73.87845023088582 40.86139038863303, -73.87844727832025 40.861379514769936, -73.87844488856913 40.86136856209364, -73.8784430649126 40.861357546689895, -73.87844181107086 40.86134648531494, -73.87844112855731 40.86133539489028, -73.87843982428429 40.86132234847885, -73.87843798772593 40.86130933886429, -73.87843561885926 40.861296378778285, -73.87843272119147 40.86128348112378, -73.8784292973496 40.86127065746262, -73.87842534951592 40.861257921198906, -73.87842088340605 40.8612452842328, -73.87841590208792 40.86123275829408, -73.87841041083394 40.861220356287504, -73.87840441469886 40.861208089442414, -73.87839791939724 40.86119597016148, -73.87839422197551 40.861187600487156, -73.87839105677973 40.86117910606626, -73.87838843039377 40.86117050633846, -73.87838634962061 40.861161821581284, -73.87838481751525 40.8611530703931, -73.87837275110545 40.86113434096803, -73.87836024529666 40.86111577809909, -73.8783473040493 40.86109738815621, -73.87833393220787 40.86107917667263, -73.87832013351269 40.86106114968297, -73.87830591214629 40.861043312719765, -73.87829127317256 40.86102567198653, -73.87827622055399 40.86100823268057, -73.87826076023669 40.860991001173836, -73.87824489618527 40.860973981490936, -73.87822863324163 40.860957180505245, -73.87821197801784 40.86094060241167, -73.87820229950542 40.86093108357343, -73.87819308153357 40.860921304889374, -73.87818433511062 40.86091127960555, -73.8781760723487 40.86090102063419, -73.87816830359382 40.86089054138816, -73.87816103941198 40.860879855615615, -73.87815428882426 40.86086897723063, -73.87814806129218 40.8608579206503, -73.87814236407061 40.86084670028934, -73.87813720662102 40.860835330564846, -73.87813259288633 40.8608238270607, -73.87812853056307 40.86081220402459, -73.87812502513869 40.86080047704206, -73.87812208077648 40.86078866186472, -73.87811970142083 40.86077677323882, -73.87811788969046 40.86076482691436, -73.87811664864502 40.86075283880932, -73.8781159793586 40.86074082467204, -73.87811588356878 40.86072879941394, -73.87811636036194 40.86071677978638, -73.87811683647155 40.86070429025522, -73.87811784851246 40.86069181888013, -73.87811939557778 40.86067937872696, -73.87812147455175 40.860666984199376, -73.87812408497062 40.86065464735854, -73.87812722372104 40.860642381267944, -73.87813088570226 40.86063019982662, -73.87813506956832 40.86061811492722, -73.87813976889484 40.86060614029984, -73.87814498057007 40.86059428817029, -73.87815069662727 40.86058257109438, -73.87815691351277 40.86057100163251, -73.87816362303923 40.8605595923402, -73.87817081834596 40.860548354266655, -73.87817849190613 40.86053730080571, -73.87818663641777 40.86052644300611, -73.87819524193057 40.86051579224882, -73.87820429981808 40.86050535991621, -73.87821380035163 40.860495156886955, -73.87822373424257 40.86048519471021, -73.87823408911684 40.86047548292164, -73.87824485634847 40.86046603273613, -73.87826882581723 40.86044971663271, -73.87829312595134 40.86043368516013, -73.8783177514479 40.86041794233312, -73.87834269612324 40.86040249116041, -73.87836795401041 40.86038733682871, -73.87839351870575 40.86037248201145, -73.87841938490672 40.860357930555836, -73.87844554554565 40.86034368630733, -73.87847199421917 40.86032975177177, -73.87847903822377 40.86032640621215, -73.87848582702662 40.86032276855775, -73.87849233854237 40.86031884984186, -73.87849855333201 40.86031466193821, -73.8785044512915 40.8603102183951, -73.87851001496405 40.8603055330986, -73.87851522601116 40.86030061943133, -73.87852007028154 40.860295493628186, -73.87859081878089 40.86021908818022, -73.87859428291951 40.86021465966131, -73.87859729616642 40.86021004505204, -73.87859984192428 40.860205270971164, -73.87860190580169 40.86020036437485, -73.87860347671511 40.86019535322783, -73.87860454379964 40.860190266667786, -73.87860510258942 40.86018513367151, -73.87860514972256 40.860179982881995, -73.8786046840409 40.86017484445221, -73.8786037085804 40.86016974753439, -73.87860222968841 40.86016472044663, -73.8786002548133 40.860159792680896, -73.8785977958189 40.860154992393525, -73.87859486589451 40.860150346904646, -73.87859148308608 40.86014588219937, -73.87858766521863 40.86014162443005, -73.87858343563802 40.86013759724195, -73.87856936588649 40.860127065321564, -73.87855570468096 40.86011622742936, -73.87854246391906 40.86010509312679, -73.87852965461767 40.86009367096931, -73.87851728756807 40.86008197219249, -73.87850537312512 40.86007000535105, -73.87849392097803 40.86005778100931, -73.87848294081631 40.86004530956406, -73.87847244255099 40.860032600909726, -73.87846243476581 40.86001966678214, -73.8784529258269 40.860006517241615, -73.87844392387761 40.85999316352092, -73.8784354357367 40.85997961718648, -73.87842746998936 40.859965889136475, -73.87842278884038 40.859955299578324, -73.87841859532267 40.85994459293245, -73.8784148938245 40.8599337826054, -73.87841168983894 40.85992288116726, -73.87840898554833 40.859911901687184, -73.87840678445868 40.85990085740324, -73.87840509051718 40.859889761553966, -73.87840390480082 40.85987862837998, -73.87840322905157 40.85986747044742, -73.87840306368626 40.85985630099104, -73.8784034100025 40.85984513425171, -73.87840426621065 40.8598339834619, -73.87840563206592 40.85982286168811, -73.87840750555678 40.85981178283269, -73.8784098848942 40.859800759792996, -73.87841383545249 40.859791318321435, -73.87841832149336 40.85978201528571, -73.8784233343785 40.859772868601645, -73.87842886436796 40.859763895346276, -73.87843490105986 40.859755112595955, -73.87844143405444 40.85974653625438, -73.8784484505218 40.85973818389786, -73.87845593697654 40.859730069584096, -73.87846387926731 40.85972220954783, -73.87847226368724 40.85971461834908, -73.87848107255927 40.85970730970603, -73.8784902908523 40.859700298344805, -73.87849990045049 40.85969359664297, -73.87850988412062 40.85968721697901, -73.87862013651761 40.85963015195035, -73.87863719343531 40.85961897548254, -73.87865389675983 40.85960749542307, -73.87867023831551 40.85959571812944, -73.87868620727804 40.859583650458795, -73.87870179502958 40.85957129927076, -73.87871699339459 40.85955867092272, -73.87873179419472 40.85954577327986, -73.87874618815123 40.859532612698466, -73.87876016774685 40.85951919754694, -73.8787737252471 40.85950553435071, -73.87878685247284 40.85949163147752))",,164809,,,,10458,10458,0,0,MITSUBISHI WILD WETLAND TRL,2,,2,0,08/19/2014 12:00:00 AM +0000,12/22/2015 12:00:00 AM +0000,NV,6,13,13,,,,,TRL,,,MITSUBISHI WILD WETLAND TRL,MITSUBISHI WILD WETLAND,,1026.07752317
"MULTILINESTRING ((-73.7729030190404 40.77780428098228, -73.77203608151008 40.778069803113304))",215-001,6110,215-027,215-000,215-026,11360,11360,112261166,112262650,28 AVE,2,,4,35,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,S,,,,AVE,,,28 AVE,28,,258.859740425
"MULTILINESTRING ((-73.90711253281893 40.90518625079211, -73.90672345950594 40.90639950030468))",5631,61140,5699,5602,5698,10471,10471,1522604870,1522601877,ARLINGTON AVE,2,,2,42,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,H,,,,AVE,,,ARLINGTON AVE,ARLINGTON,,454.932921708
"MULTILINESTRING ((-73.98181677514282 40.687329801759894, -73.98053316350646 40.68689189631319, -73.97981084497512 40.686646845437885))",317,145494,399,316,360,11217,11217,1922603730,1922612977,SCHERMERHORN ST,2,2,3,50,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TW,1,13,13,C,,,,ST,,,SCHERMERHORN ST,SCHERMERHORN,TW,609.424374552
"MULTILINESTRING ((-73.8300230194527 40.71400599781069, -73.82987470666845 40.71394126633185))",120-011,12438,120-011,0,0,11415,11415,92261717,92269521,QUEENS BLVD,2,,4,40,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TF,1,13,13,C,,,,BLVD,,,QUEENS BLVD,QUEENS,,47.3992280891
"MULTILINESTRING ((-74.15825784169094 40.56220197631664, -74.15915791685175 40.56193583351181))",528,15432,554,555,555,10308,10308,1722611503,1722601588,ARTHUR KILL RD,2,,5,36,11/29/2007 12:00:00 AM +0000,04/15/2019 12:00:00 AM +0000,TW,1,13,13,C,,,,RD,,,ARTHUR KIL RD,ARTHUR KIL,,268.22875069
"MULTILINESTRING ((-73.8871122884414 40.84841546446455, -73.8860172527964 40.84787758613754))",731,52620,759,730,758,10457,10457,1522611738,1522610770,E 181 ST,2,,2,30,11/29/2007 12:00:00 AM +0000,03/17/2017 12:00:00 AM +0000,TF,1,13,13,S,,E,,ST,,,E  181 ST,181,,360.814869483
"MULTILINESTRING ((-73.90674661427755 40.73671756619241, -73.90747642833853 40.73509378159815))",51-001,83272,51-099,51-000,51-098,11377,11377,102264679,102265638,58 LN,2,,4,30,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,S,,,,LN,,,58 LN,58,,625.213984208
"MULTILINESTRING ((-73.90098639497059 40.702449447994866, -73.90069776903817 40.70176960976336))",68-049,26405,68-099,68-050,68-098,11385,11385,52263275,52261376,FOREST AVE,2,,4,36,11/29/2007 12:00:00 AM +0000,08/28/2020 12:00:00 AM +0000,TW,1,13,13,C,,,,AVE,,,FOREST AVE,FOREST,,260.29310322
"MULTILINESTRING ((-74.23944088631606 40.52901127507582, -74.23984740805369 40.52903993484164))",0,95944,0,15,15,10309,10309,1722607326,1722611776,TIDES LN,2,,5,34,11/29/2007 12:00:00 AM +0000,10/07/2020 12:00:00 AM +0000,TW,1,13,13,V,,,,LN,,,TIDES LN,TIDES,,113.491099155
